"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\App.xaml", "XML", 10, 0, 0, 0, 3, 1, 14
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\App.xaml.cs", "C#", 0, 92, 0, 0, 1, 14, 107
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\AppShell.xaml", "XML", 51, 0, 0, 0, 5, 8, 64
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\AppShell.xaml.cs", "C#", 0, 26, 0, 0, 10, 10, 46
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\AssemblyInfo.cs", "C#", 0, 6, 0, 0, 0, 1, 7
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Diabeticare.csproj", "XML", 107, 0, 0, 0, 0, 7, 114
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\LoginShell.xaml", "XML", 32, 0, 0, 0, 5, 5, 42
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\LoginShell.xaml.cs", "C#", 0, 14, 0, 0, 1, 2, 17
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Models\BglModel.cs", "C#", 0, 13, 0, 0, 0, 2, 15
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Models\CarbohydrateModel.cs", "C#", 0, 14, 0, 0, 0, 2, 16
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Models\ExerciseModel.cs", "C#", 0, 12, 0, 0, 0, 2, 14
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Models\GroupModel.cs", "C#", 0, 10, 0, 0, 0, 2, 12
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Models\SleepModel.cs", "C#", 0, 13, 0, 0, 0, 2, 15
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Models\UserModel.cs", "C#", 0, 19, 0, 0, 0, 2, 21
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Resources\Helpers\FontAwesome.cs", "C#", 0, 42, 0, 0, 0, 2, 44
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\Services\ApiServices.cs", "C#", 0, 352, 0, 0, 266, 114, 732
